Note: This program only formats numbers up to 1 Million corectly.

Please enter the amount of money you want to accumulate: $1000000.00
Day             Deposit             Balance
---             -------             -------
  1                0.02                0.02
  2                0.04                0.06
  3                0.08                0.14
  4                0.16                0.30
  5                0.32                0.62
  6                0.64                1.26
  7                1.28                2.54
  8                2.56                5.10
  9                5.12               10.22
 10               10.24               20.46
 11               20.48               40.94
 12               40.96               81.90
 13               81.92              163.82
 14              163.84              327.66
 15              327.68              655.34
 16              655.36             1310.70
 17             1310.72             2621.42
 18             2621.44             5242.86
 19             5242.88            10485.74
 20            10485.76            20971.50
 21            20971.52            41943.02
 22            41943.04            83886.06
 23            83886.08           167772.14
 24           167772.16           335544.30
 25           335544.32           671088.62
 26           671088.64          1342177.26

It took 26 days to accumulate at least $1000000.00.
